ID	type	group	altitude	layer	SOM	AN	AP	MC	pH	PT	NAG	ALP	POD	OTU	Chao1	Shannon	Simpson
YS01	YS	YS1	1390	A	39.55	11.67	20.75	6.65	7.55	172.20	44.25	1736.84	1543.51	213	201	4.84	0.9250
YS02	YS	YS1	1390	B	14.67	0.58	11.94	4.15	8.00	149.63	36.10	531.62	1100.12	200	196	4.87	0.9707
YS03	YS	YS2	1490	A	39.67	12.83	25.88	10.11	7.93	203.70	59.43	1659.29	1417.19	417	353	5.74	0.8402
YS04	YS	YS2	1490	B	28.66	4.67	13.72	5.87	7.97	171.15	56.29	430.46	735.76	232	250	3.72	0.9214
YS05	YS	YS3	1743	A	50.21	16.10	24.31	13.04	7.63	255.15	49.28	527.00	725.74	228	213	4.50	0.7453
YS06	YS	YS3	1743	B	39.90	11.55	23.47	13.03	7.64	175.35	47.97	165.63	680.04	189	164	3.14	0.5638
LYS01	LYS	LYS1	1870	A	71.77	24.27	5.76	34.49	6.57	376.95	40.42	1314.49	1632.38	282	284	4.40	0.9552
LYS02	LYS	LYS1	1870	B	50.67	11.67	0.83	27.19	7.11	199.50	33.91	434.40	496.22	258	269	5.59	0.8172
LYS03	LYS	LYS2	1945	A	56.06	20.65	19.91	29.73	6.93	372.23	34.78	1032.17	975.65	362	408	6.13	0.8844
LYS04	LYS	LYS2	1945	B	50.44	9.80	12.15	23.23	7.08	181.13	31.17	865.78	647.42	318	376	4.60	0.9808
LYS05	LYS	LYS3	2017	A	50.21	18.90	7.38	25.67	7.58	325.50	24.33	911.71	667.51	386	385	6.58	0.9790
LYS06	LYS	LYS3	2017	B	39.67	9.37	1.88	24.26	7.77	200.55	23.44	859.76	637.92	362	377	6.55	0.8642
